year,flag_country_iso3c,flag_country_name,eez_sovereign_iso3c,eez_sovereign_name,fao_fishing_id,fao_major_fishing_area,length_category,nom_active_fishing_days,eff_active_fishing_days,sector
2012,EGY,Egypt,EGY,Egypt,37,Mediterranean and Black Sea,6-12m,1922392.79553199,9497356.97484863,Artisanal
2012,EGY,Egypt,EGY,Egypt,37,Mediterranean and Black Sea,Less than 6m,2525708.46198428,12477967.5275585,Artisanal
2012,EGY,Egypt,EGY,Egypt,51,"Indian Ocean, Western",12-24m,42254.4044222822,208752.947623788,Artisanal
2012,EGY,Egypt,EGY,Egypt,51,"Indian Ocean, Western",6-12m,2748931.94922591,13580777.0826254,Artisanal
2012,EGY,Egypt,EGY,Egypt,51,"Indian Ocean, Western",Less than 6m,2333687.13079037,11529308.5784755,Artisanal
2012,ERI,Eritrea,ERI,Eritrea,34,"Atlantic, Eastern Central",12-24m,136310.736666135,673427.266598038,Artisanal
2012,ERI,Eritrea,ERI,Eritrea,34,"Atlantic, Eastern Central",6-12m,82017.7108461665,405198.916671135,Artisanal
2012,ERI,Eritrea,ERI,Eritrea,34,"Atlantic, Eastern Central",Less than 6m,4999.52226207346,24699.5555419123,Artisanal
2012,ERI,Eritrea,ERI,Eritrea,51,"Indian Ocean, Western",12-24m,2274481.62554387,11236810.6979647,Artisanal
2012,ERI,Eritrea,ERI,Eritrea,51,"Indian Ocean, Western",6-12m,1397621.19447383,6904784.19934937,Artisanal
2012,ERI,Eritrea,ERI,Eritrea,51,"Indian Ocean, Western",Less than 6m,86792.3408379265,428787.418230212,Artisanal
2012,ESP,Spain,ESP,Spain,27,"Atlantic, Northeast",12-24m,92.5166576206249,457.067736409078,Artisanal
2012,ESP,Spain,ESP,Spain,27,"Atlantic, Northeast",6-12m,4142922.40835334,20467624.058247,Artisanal
2012,ESP,Spain,ESP,Spain,27,"Atlantic, Northeast",Less than 6m,982825.878786863,4855536.41100442,Artisanal
2012,ESP,Spain,ESP,Spain,34,"Atlantic, Eastern Central",12-24m,36.5058900073752,180.353083870488,Artisanal
